dataset,longname,hash,indiv,std_dev,mean,diff,data_seed,DecisionTreeClassifier,GradientBoostingClassifier,KNeighborsClassifier,LGBMClassifier,LogisticRegression,RandomForestClassifier,SVC,XGBClassifier
digen2_6949,XGLFSKDR_0.201_0.78_6949,15219371646cf49f2a644e02ba87450a,"mul(mul(X1, X6), safeDiv(X5, 86.71154925319885))",0.2014934877010607,0.7796687499999999,0.5379,6949,0.51075,0.9857,0.6636,0.969,0.4508,0.8723000000000001,0.7965,0.9887
digen4_860,XLSFKGDR_0.188_0.729_860,2c13e97badfd869e5dde68abacda0171,"min(gt(X5, X8), safeDiv(X3, mul(X8, sub(0.0, X2))))",0.18792074750742666,0.7293375,0.5284,860,0.5026,0.5956,0.6649,0.9412,0.4614,0.8288000000000001,0.8503999999999999,0.9898
digen14_769,XGSLFKRD_0.185_0.734_769,64880e430a98b1f3a34e325f9b7d321c,"mul(X0, mul(1.0, safeDiv(X9, X5)))",0.1851712720699407,0.7338,0.4877,769,0.5111,0.9943,0.5965,0.7318,0.5292,0.6424,0.8663,0.9988
digen29_8322,XLFGDKSR_0.079_0.734_8322,c40ec4b1789e563a9a433c3222b5ec74,"ne(le(safeDiv(X2, X5), ge(0.0, X4)), sub(ne(X5, 12.660668657555652), max(ge(max(X3, X5), min(X5, X9)), X7)))",0.07908171011681525,0.7345,0.23714999999999997,8322,0.7618,0.7878999999999999,0.6888000000000001,0.79345,0.5837,0.7913000000000001,0.6482,0.82085
digen21_6265,FLGDXKSR_0.157_0.867_6265,7e0c32a82618371cbea23cf323022837,"mul(safeDiv(mul(X6, X2), add(1.0, min(1.0, X6))), sub(1.0, X5))",0.1570713401561134,0.86654375,0.4150999999999999,6265,0.977,0.98065,0.7209000000000001,0.994,0.5822,0.9973,0.7072,0.9731
digen15_5311,F-DXGLSKR_0.144_0.859_5311,662e6f175edc4581b1ed21f90d422d46,"ne(le(X1, lt(max(X4, X8), min(X2, 0.0))), le(X8, 0.0))",0.14448574526899705,0.8587687500000001,0.44860000000000005,5311,0.9401,0.936,0.8322,0.9351,0.4916,0.9402,0.8559,0.93905
digen19_7270,SXLGFKDR_0.169_0.819_7270,790b7f608286a16c187dec276f616358,"min(safeDiv(add(X5, X3), sub(X9, X6)), ge(0.0, X8))",0.1690358172104362,0.81935,0.4941,7270,0.5869,0.9206,0.8043,0.926,0.4982,0.8815000000000001,0.9923,0.945
digen5_6949,F-GLDXKSR_0.085_0.897_6949,33e9d5e28eb31b8a5aa94f4925abcb1f,"lt(mul(min(X5, X4), safeDiv(X8, 91.1295067313468)), ne(min(X7, 55.48352437937514), X7))",0.0849851767865285,0.89710625,0.25870000000000004,6949,0.9464,0.9622,0.8688999999999999,0.9574,0.7038,0.9625,0.8385,0.93715
digen11_7270,X-L-GFDSKR_0.184_0.888_7270,5f9f502d830f4bf2331d5dab8f8448ad,"mul(safeDiv(X4, X2), sub(X6, 1.0))",0.18395848546615076,0.8879250000000001,0.565,7270,0.994,0.9999,0.8332,0.9999,0.435,0.9967,0.8447,1.0
digen9_7270,FXGLDSKR_0.128_0.846_7270,42f843e9ba96355bade970aa578ba3b3,"safeDiv(add(X3, ne(X3, X5)), safeDiv(add(gt(X7, X8), sub(X7, X9)), X0))",0.1277784176746508,0.8457937499999999,0.3771000000000001,7270,0.9082,0.9392,0.7406999999999999,0.931,0.5781999999999999,0.9553,0.7678499999999999,0.9459
digen20_5191,G-FLXDSKR_0.144_0.892_5191,7afcbfb9fcc8f2613b81f529a43e9cbc,"gt(X2, safeDiv(X2, X8))",0.14366575955581762,0.8924875000000001,0.3962,5191,0.9849,1.0,0.7329,0.99695,0.6038,0.9998,0.8298,0.99175
digen18_5578,SXLKFGDR_0.153_0.652_5578,75d6420d8cef7a07cb25831316388627,"safeDiv(mul(X2, X1), sub(X3, X6))",0.15302916375951844,0.65178125,0.4985,5578,0.50625,0.5361,0.6924,0.7435,0.412,0.6285,0.9105,0.7850000000000001
digen30_4426,XGLSFKRD_0.208_0.757_4426,c425c7cede29a1327482bc8db975a32b,"add(mul(mul(X6, X1), X0), mul(X4, 0.0))",0.2075084485290599,0.7570187500000001,0.5459499999999999,4426,0.4528500000000001,0.9978,0.6708000000000001,0.9555,0.4605,0.7405,0.7794,0.9988
